Team,Year,Week,Opponent,TotalDVOA,OffenseDVOA,OffPassDVOA,OffRushDVOA,DefenseDVOA,DefPassDVOA,DefRushDVOA,STDVOA
BAL,2015,3,CIN,-0.075,0.02,0.378,-0.528,0.027,0.227,-0.205,-0.067
BUF,2015,3,MIA,0.558,0.435,1.096,-0.106,-0.201,-0.378,0.168,-0.077
CAR,2015,3,NO,-0.029,0.244,0.483,0.004,0.09,0.227,-0.083,-0.183
CHI,2015,3,SEA,-0.448,-0.211,-0.207,-0.015,-0.055,-0.116,0.028,-0.292
CIN,2015,3,BAL,0.105,0.088,0.489,-0.118,-0.009,0.273,-0.542,0.008
CLE,2015,3,OAK,-0.636,-0.255,0.001,-0.584,0.388,0.629,0.168,0.007
DAL,2015,3,ATL,-0.082,0.326,0.279,0.468,0.437,0.503,0.36,0.03
DEN,2015,3,DET,0.201,-0.093,0.011,-0.191,-0.267,-0.268,-0.265,0.026
DET,2015,3,DEN,-0.099,-0.049,0.184,-0.237,0.095,0.238,-0.187,0.046
GB,2015,3,KC,0.894,0.61,1.377,-0.171,-0.288,-0.475,0.114,-0.003
HOU,2015,3,TB,-0.234,-0.164,-0.111,-0.131,-0.127,0.126,-0.526,-0.197
IND,2015,3,TEN,0.007,0.024,-0.271,0.557,0.087,0.202,-0.071,0.069
JAC,2015,3,NE,-0.473,-0.043,0.117,-0.3,0.436,0.544,0.306,0.005
KC,2015,3,GB,-0.514,-0.102,-0.384,0.486,0.417,0.999,-0.19,0.005
MIA,2015,3,BUF,-0.874,-0.56,-0.723,-0.142,0.309,0.979,-0.249,-0.004
MIN,2015,3,SD,0.242,0.08,-0.138,0.229,-0.09,-0.09,-0.09,0.072
NE,2015,3,JAC,0.535,0.448,0.642,0.345,-0.016,0.131,-0.258,0.071
NO,2015,3,CAR,0.399,0.449,0.886,0.096,0.239,0.617,-0.145,0.189
NYG,2015,3,WAS,0.256,0.243,0.976,-0.248,-0.204,-0.216,-0.18,-0.191
NYJ,2015,3,PHI,-0.362,-0.426,-0.421,-0.24,-0.158,0.033,-0.296,-0.094
OAK,2015,3,CLE,0.292,0.225,0.646,0.095,-0.058,0.122,-0.568,0.01
PHI,2015,3,NYJ,0.526,-0.025,0.096,-0.006,-0.439,-0.541,-0.154,0.112
PIT,2015,3,LARM,-0.073,-0.023,0.08,-0.182,0.007,0.188,-0.302,-0.043
SD,2015,3,MIN,-0.454,-0.248,-0.08,-0.373,0.145,-0.041,0.278,-0.061
SEA,2015,3,CHI,0.683,-0.149,-0.066,-0.103,-0.428,-0.715,-0.285,0.404
SF,2015,3,ARI,-0.769,-0.679,-1.705,0.001,0.116,0.341,-0.059,0.026
TB,2015,3,HOU,-0.209,-0.062,0.311,-0.494,-0.046,0.071,-0.14,-0.193
TEN,2015,3,IND,-0.186,0.03,0.159,-0.066,0.243,-0.028,0.584,0.027
WAS,2015,3,NYG,-0.321,-0.266,-0.199,-0.303,0.245,0.834,-0.229,0.19
ARI,2015,4,LARM,-0.041,0.107,0.186,0.013,0.108,0.569,-0.367,-0.039
ATL,2015,4,HOU,0.31,0.32,0.704,0.239,0.033,0.18,-0.333,0.023
BAL,2015,4,PIT,0.265,-0.123,-0.498,0.22,-0.303,-0.561,-0.074,0.085
BUF,2015,4,NYG,-0.373,-0.414,-0.169,-0.601,-0.105,-0.094,-0.121,-0.063
CAR,2015,4,TB,0.09,-0.123,-0.032,-0.111,-0.286,-0.567,0.065,-0.073
CHI,2015,4,OAK,0.139,0.026,0.329,-0.323,-0.166,-0.137,-0.213,-0.052
CIN,2015,4,KC,0.946,0.966,1.47,0.797,-0.001,0.058,-0.101,-0.021
CLE,2015,4,SD,-0.059,0.015,0.253,-0.238,0.227,0.436,-0.135,0.153
DAL,2015,4,NO,-0.382,-0.166,-0.036,-0.287,0.109,0.214,-0.05,-0.107
DEN,2015,4,MIN,0.247,-0.064,-0.047,-0.005,-0.271,-0.331,-0.15,0.039
DET,2015,4,SEA,0.422,0.17,0.362,-0.129,-0.309,-0.238,-0.384,-0.057
GB,2015,4,SF,0.316,0.061,0.026,0.159,-0.334,-0.405,-0.209,-0.079
HOU,2015,4,ATL,-0.708,-0.225,-0.073,-0.517,0.372,0.512,0.25,-0.111
IND,2015,4,JAC,-0.398,-0.391,-0.156,-0.797,0.105,0.105,0.103,0.097
JAC,2015,4,IND,-0.006,0.054,0.113,0.127,-0.098,0.169,-0.672,-0.158
KC,2015,4,CIN,-0.437,0.148,0.257,0.191,0.652,0.833,0.497,0.067
MIA,2015,4,NYJ,-0.262,-0.002,-0.062,0.425,0.331,0.363,0.31,0.072
MIN,2015,4,DEN,-0.079,0.019,-0.01,0.164,0,-0.03,0.039,-0.098
NO,2015,4,DAL,0.085,0.186,0.382,-0.128,0.141,0.604,-0.268,0.039
NYG,2015,4,BUF,0.01,-0.371,-0.24,-0.308,-0.335,-0.062,-0.712,0.046
NYJ,2015,4,MIA,0.17,0.234,0.392,0.316,-0.125,-0.159,0.012,-0.19
OAK,2015,4,CHI,-0.127,-0.329,-0.148,-0.605,-0.08,0.175,-0.441,0.122
PHI,2015,4,WAS,0.019,0.043,0.222,-0.223,0.014,0.239,-0.28,-0.01
PIT,2015,4,BAL,-0.223,-0.225,-0.513,0.16,-0.08,-0.312,0.099,-0.079
SD,2015,4,CLE,-0.265,0.096,0.511,-0.307,0.247,0.428,-0.099,-0.114
SEA,2015,4,DET,0.014,-0.176,-0.075,-0.119,-0.096,-0.04,-0.183,0.095
SF,2015,4,GB,-0.78,-0.502,-0.51,-0.367,0.146,0.176,0.121,-0.132
TB,2015,4,CAR,-0.054,-0.056,-0.278,0.22,-0.166,-0.08,-0.229,-0.164
WAS,2015,4,PHI,-0.185,0.035,0.483,-0.528,0.179,0.326,-0.062,-0.042
ARI,2015,5,DET,0.845,0.474,0.685,0.478,-0.33,-0.322,-0.355,0.042
ATL,2015,5,WAS,-0.254,-0.244,-0.476,0.142,-0.176,-0.163,-0.189,-0.186
BAL,2015,5,CLE,-0.138,0.082,-0.144,0.309,0.315,0.542,-0.123,0.095
BUF,2015,5,TEN,-0.222,-0.198,-0.111,-0.139,-0.001,0.152,-0.164,-0.025
CHI,2015,5,KC,0.223,0.131,0.388,-0.079,-0.044,0.012,-0.113,0.047
CIN,2015,5,SEA,0.448,0.311,0.708,-0.116,-0.033,-0.256,0.143,0.103
CLE,2015,5,BAL,-0.042,0.136,0.33,-0.047,0.145,0.014,0.278,-0.033
DAL,2015,5,NE,-0.599,-0.458,-0.654,-0.062,0.096,0.132,0.058,-0.044
DEN,2015,5,OAK,0.03,-0.262,-0.161,-0.44,-0.299,-0.252,-0.376,-0.007
DET,2015,5,ARI,-0.827,-0.289,-0.23,-0.311,0.523,0.418,0.601,-0.016
GB,2015,5,LARM,0.318,-0.171,-0.08,-0.089,-0.498,-1.116,-0.016,-0.009
HOU,2015,5,IND,-0.254,0.111,0.42,-0.239,0.309,0.555,0.039,-0.056
IND,2015,5,HOU,0.145,0.238,0.555,-0.044,0.192,0.483,-0.2,0.099
JAC,2015,5,TB,-0.282,0.092,0.437,-0.477,0.262,0.903,-0.019,-0.111
KC,2015,5,CHI,-0.012,0.002,-0.004,0.01,-0.04,0.08,-0.232,-0.054
NE,2015,5,DAL,0.45,0.099,0.289,-0.008,-0.222,-0.294,-0.109,0.129
NO,2015,5,PHI,-0.601,-0.199,-0.23,-0.139,0.349,0.419,0.263,-0.052
NYG,2015,5,SF,0.237,0.32,0.494,-0.054,0.119,0.355,-0.141,0.035
OAK,2015,5,DEN,0.06,-0.032,0.215,-0.309,-0.184,-0.049,-0.429,-0.093
PHI,2015,5,NO,0.383,0.028,-0.077,0.279,-0.286,-0.44,0.021,0.069
PIT,2015,5,SD,0.025,0.028,-0.089,0.128,0.063,0.232,-0.299,0.061
SD,2015,5,PIT,0.282,0.22,0.527,-0.306,-0.07,-0.221,0.063,-0.008
SEA,2015,5,CIN,0.27,0.206,0.151,0.383,-0.135,0.064,-0.397,-0.071
SF,2015,5,NYG,-0.407,0,0.138,-0.15,0.41,0.586,0.018,0.003
TB,2015,5,JAC,0.21,0.228,0.821,0.086,0.138,0.448,-0.516,0.119
TEN,2015,5,BUF,0.033,-0.185,0.033,-0.34,-0.215,-0.177,-0.247,0.003
WAS,2015,5,ATL,-0.096,-0.221,-0.068,-0.401,-0.123,-0.378,0.225,0.002
