Team,Year,Week,Opponent,TotalDVOA,OffenseDVOA,OffPassDVOA,OffRushDVOA,DefenseDVOA,DefPassDVOA,DefRushDVOA,STDVOA
TB,2015,10,DAL,-0.163,-0.193,-0.059,-0.142,-0.169,0.277,-0.716,-0.139
TEN,2015,10,CAR,-0.178,-0.013,0.334,-0.259,0.087,0.249,-0.027,-0.078
WAS,2015,10,NO,0.623,0.365,0.674,0.235,-0.265,-0.314,-0.22,-0.008
ARI,2015,11,CIN,0.307,0.271,0.757,-0.161,-0.075,-0.09,-0.056,-0.039
ATL,2015,11,IND,-0.251,-0.243,-0.111,-0.481,-0.126,0.059,-0.361,-0.133
BAL,2015,11,LARM,-0.136,-0.161,-0.132,-0.197,-0.051,0.348,-0.383,-0.026
BUF,2015,11,NE,-0.056,0.002,0.313,-0.298,-0.051,0.034,-0.204,-0.109
CAR,2015,11,WAS,1.008,0.194,0.671,-0.134,-0.995,-0.829,-1.356,-0.181
CHI,2015,11,DEN,0.133,0.298,0.497,0.043,0.257,0.509,0.048,0.093
CIN,2015,11,ARI,0.486,0.366,0.604,0.155,-0.063,0.137,-0.291,0.057
DAL,2015,11,MIA,-0.098,-0.276,-0.352,-0.069,-0.122,-0.144,-0.092,0.056
DEN,2015,11,CHI,0.171,0.081,0.38,-0.072,-0.059,0.041,-0.191,0.03
DET,2015,11,OAK,0.201,0.028,0.171,-0.073,-0.168,-0.077,-0.258,0.006
GB,2015,11,MIN,0.116,0.104,0.504,-0.164,0.088,0.18,-0.12,0.099
HOU,2015,11,NYJ,0.205,0.119,0.228,0.066,-0.221,-0.306,-0.079,-0.135
IND,2015,11,ATL,-0.072,-0.359,-0.173,-0.527,-0.194,-0.077,-0.397,0.093
JAC,2015,11,TEN,-0.345,-0.319,-0.149,-0.53,0.203,0.461,-0.136,0.177
KC,2015,11,SD,0.699,0.219,0.442,0.058,-0.407,-0.451,-0.367,0.073
MIA,2015,11,DAL,-0.099,-0.139,-0.048,-0.098,-0.046,0.031,-0.104,-0.006
MIN,2015,11,GB,0.108,0.2,0.333,0.064,0.057,0.336,-0.191,-0.034
NE,2015,11,BUF,0.289,0,0.306,-0.298,-0.199,0.089,-0.49,0.09
NYJ,2015,11,HOU,-0.166,-0.192,-0.207,-0.081,0.049,0.191,-0.099,0.075
OAK,2015,11,DET,-0.294,-0.251,-0.1,-0.251,0.06,0.127,-0.015,0.018
PHI,2015,11,TB,-0.8,-0.451,-0.61,-0.147,0.351,0.848,0.002,0.002
SD,2015,11,KC,-0.48,-0.326,-0.171,-0.462,0.182,0.421,0.002,0.028
SEA,2015,11,SF,0.453,0.535,1.028,0.394,0.087,0.306,-0.382,0.004
SF,2015,11,SEA,-0.349,0.06,0.432,-0.369,0.43,0.742,0.234,0.021
TB,2015,11,PHI,0.492,0.281,1.089,-0.018,-0.158,-0.238,-0.047,0.053
TEN,2015,11,JAC,-0.002,-0.023,0.144,-0.157,-0.202,-0.045,-0.405,-0.182
WAS,2015,11,CAR,-0.587,-0.745,-0.382,-1.493,0.158,0.496,-0.19,0.316
ARI,2015,12,SF,-0.372,-0.221,0.112,-0.38,0.17,0.394,-0.235,0.019
ATL,2015,12,MIN,-0.417,-0.261,-0.135,-0.35,0.196,0.262,0.147,0.041
BAL,2015,12,CLE,-0.046,-0.216,-0.144,-0.22,0.105,0.253,-0.227,0.275
BUF,2015,12,KC,-0.217,0.165,0.631,-0.193,0.357,0.517,0.172,-0.024
CAR,2015,12,DAL,0.189,-0.161,-0.047,-0.155,-0.379,-0.336,-0.473,-0.03
CHI,2015,12,GB,0.094,-0.011,0.304,-0.182,-0.102,-0.323,0.22,0.003
CIN,2015,12,LARM,0.538,0.377,0.764,0.047,-0.133,-0.138,-0.119,0.028
CLE,2015,12,BAL,-0.324,-0.07,0.002,-0.227,-0.01,0.064,-0.101,-0.264
DAL,2015,12,CAR,-0.414,-0.537,-0.49,-0.48,-0.083,-0.052,-0.107,0.04
DEN,2015,12,NE,0.185,0.111,0.013,0.275,-0.197,-0.002,-0.589,-0.122
DET,2015,12,PHI,0.577,0.37,0.772,-0.198,-0.179,0.026,-0.395,0.028
GB,2015,12,CHI,-0.126,-0.244,-0.521,0.154,-0.085,0.099,-0.267,0.033
HOU,2015,12,NO,0.36,-0.046,-0.001,0.037,-0.487,-0.531,-0.309,-0.081
IND,2015,12,TB,0.006,-0.135,0.222,-0.653,-0.1,-0.172,0.026,0.04
JAC,2015,12,SD,-0.27,-0.018,0.034,-0.16,0.21,0.353,-0.08,-0.042
KC,2015,12,BUF,0.516,0.489,0.647,0.312,-0.002,0.292,-0.348,0.025
MIA,2015,12,NYJ,-0.609,-0.229,-0.031,-0.804,0.264,0.541,-0.014,-0.116
MIN,2015,12,ATL,0.238,0.177,0.22,0.196,-0.188,-0.103,-0.289,-0.128
NE,2015,12,DEN,0.24,0.345,0.77,-0.476,0.091,0.033,0.155,-0.014
NO,2015,12,HOU,-0.427,-0.274,-0.171,-0.294,0.23,0.349,0.123,0.077
NYG,2015,12,WAS,-0.656,-0.425,-0.381,-0.468,0.221,0.546,-0.026,-0.01
NYJ,2015,12,MIA,0.324,0.157,0.635,-0.101,-0.065,0.109,-0.983,0.102
OAK,2015,12,TEN,0.254,0.173,0.72,-0.42,-0.098,0.038,-0.367,-0.017
PHI,2015,12,DET,-0.916,-0.449,-0.408,-0.495,0.418,0.706,0.028,-0.049
PIT,2015,12,SEA,0.007,0.237,0.274,0.398,0.236,0.545,-0.091,0.006
SD,2015,12,JAC,-0.005,0.183,0.416,-0.097,0.118,0.133,0.078,-0.07
SEA,2015,12,PIT,0.595,0.559,1.202,0.091,-0.018,-0.056,0.132,0.018
SF,2015,12,ARI,0.426,0.233,0.569,-0.099,-0.206,-0.083,-0.364,-0.013
TB,2015,12,IND,-0.239,-0.077,-0.063,0.122,0.077,0.444,-0.617,-0.086
TEN,2015,12,OAK,-0.422,-0.152,-0.03,-0.384,0.24,0.586,-0.222,-0.03
WAS,2015,12,NYG,0.513,0.1,0.648,-0.286,-0.358,-0.342,-0.427,0.055
ARI,2015,13,LARM,0.741,0.543,1.012,0.062,-0.31,-0.343,-0.235,-0.112
ATL,2015,13,TB,-0.348,-0.156,-0.188,-0.092,0.162,0.215,0.124,-0.03
BAL,2015,13,MIA,-0.132,-0.28,-0.287,-0.27,-0.186,-0.135,-0.223,-0.037
BUF,2015,13,HOU,0.186,0.5,1.169,0.154,0.373,0.534,0.103,0.059
CAR,2015,13,NO,-0.248,-0.109,0,-0.155,0.114,0.193,-0.103,-0.024
CHI,2015,13,SF,-0.127,-0.155,-0.558,0.13,0.068,-0.066,0.231,0.096
CIN,2015,13,CLE,0.437,0.141,0.62,0.037,-0.206,-0.107,-0.379,0.09
CLE,2015,13,CIN,-0.614,-0.31,-0.239,-0.427,0.226,0.535,0.05,-0.078
DAL,2015,13,WAS,0.154,-0.187,0.182,-0.47,-0.182,-0.1,-0.268,0.159
DEN,2015,13,SD,0.54,-0.083,0.179,-0.246,-0.662,-0.999,-0.234,-0.039
DET,2015,13,GB,0.174,-0.097,0.178,-0.219,-0.175,0.109,-0.566,0.096
GB,2015,13,DET,-0.249,-0.234,0.011,-0.518,-0.047,0.013,-0.131,-0.061
HOU,2015,13,BUF,0.222,0.392,0.637,-0.006,0.182,0.675,-0.087,0.012
IND,2015,13,PIT,-0.819,-0.672,-0.599,-0.57,0.166,0.533,-0.332,0.02
JAC,2015,13,TEN,-0.036,0.314,0.45,0.025,0.33,0.517,0.172,-0.02
KC,2015,13,OAK,0.359,0.013,-0.031,0.268,-0.293,-0.294,-0.291,0.053
MIA,2015,13,BAL,-0.204,-0.288,-0.328,-0.169,-0.147,-0.12,-0.188,-0.062
MIN,2015,13,SEA,-0.694,-0.533,-0.538,-0.525,0.291,0.602,0.069,0.131
NE,2015,13,PHI,-0.285,0.104,0.161,-0.002,-0.071,0.238,-0.319,-0.459
NO,2015,13,CAR,0.348,0.478,0.67,0.076,0.065,0.315,-0.207,-0.065
NYG,2015,13,NYJ,0.132,-0.028,0.258,-0.234,0.123,0.402,-0.404,0.284
NYJ,2015,13,NYG,-0.062,0.042,0.353,-0.434,-0.144,0.067,-0.454,-0.247
OAK,2015,13,KC,-0.082,-0.084,0.009,-0.246,-0.097,-0.169,-0.024,-0.095
PHI,2015,13,NE,0.33,-0.032,0.335,-0.179,-0.106,-0.162,0,0.256
PIT,2015,13,IND,0.722,0.337,0.792,-0.207,-0.339,-0.275,-0.449,0.045
SD,2015,13,DEN,-0.525,-0.442,-0.487,-0.235,0.073,0.335,-0.096,-0.01
SEA,2015,13,MIN,0.965,0.401,0.965,0.251,-0.711,-0.664,-0.802,-0.147
SF,2015,13,CHI,-0.218,-0.171,-0.381,0.146,-0.166,-0.464,0.017,-0.213
TB,2015,13,ATL,0.398,0.223,0.375,0.184,-0.127,-0.115,-0.153,0.048
TEN,2015,13,JAC,-0.323,0.164,0.272,0.13,0.451,0.603,0.131,-0.037
WAS,2015,13,DAL,-0.142,-0.151,0.209,-0.51,-0.096,0.316,-0.499,-0.087
ARI,2015,14,MIN,-0.031,0.146,0.465,-0.233,0.148,0.546,-0.381,-0.029
ATL,2015,14,CAR,-0.71,-0.455,-0.43,-0.437,0.278,0.695,-0.049,0.023
BAL,2015,14,SEA,-0.365,-0.212,0.137,-0.944,0.25,0.944,-0.34,0.097
BUF,2015,14,PHI,-0.014,-0.029,0.212,0.063,0.025,0.111,-0.065,0.04
CAR,2015,14,ATL,1.038,0.43,0.94,0.044,-0.594,-0.68,-0.38,0.014
CHI,2015,14,WAS,0.123,0.298,0.583,0.179,0.187,0.216,0.163,0.012
CIN,2015,14,PIT,0.115,0.019,0.014,0.029,-0.068,-0.02,-0.136,0.028
CLE,2015,14,SF,-0.003,-0.018,-0.016,0.158,-0.141,-0.164,-0.099,-0.125
DAL,2015,14,GB,-0.42,-0.254,-0.653,0.428,0.186,0.186,0.187,0.02
DEN,2015,14,OAK,-0.036,-0.382,-0.253,-0.659,-0.486,-0.416,-0.596,-0.14
DET,2015,14,LARM,0.002,0.146,0.029,0.384,0.119,-0.22,0.365,-0.025
GB,2015,14,DAL,0.371,0.181,0.311,0.135,-0.167,-0.525,0.303,0.023
HOU,2015,14,NE,-0.58,-0.566,-0.734,-0.302,0.017,0.024,0.008,0.003
IND,2015,14,JAC,-0.89,-0.493,-0.647,-0.161,0.242,0.269,0.214,-0.155
JAC,2015,14,IND,0.519,0.158,0.216,0.241,-0.137,-0.273,0.071,0.225
KC,2015,14,SD,0.291,-0.004,0.125,0.043,-0.34,-0.323,-0.372,-0.044
MIA,2015,14,NYG,-0.431,-0.042,-0.218,0.472,0.455,1.192,-0.238,0.066
MIN,2015,14,ARI,0.401,0.302,0.655,-0.191,-0.022,0.176,-0.249,0.077
NE,2015,14,HOU,0.8,0.24,0.446,0.052,-0.503,-0.693,-0.287,0.057
NO,2015,14,TB,-0.02,0.115,0.484,-0.065,0.117,0.079,0.177,-0.018
NYG,2015,14,MIA,0.214,0.408,1.291,-0.356,0.119,-0.012,0.345,-0.075
NYJ,2015,14,TEN,0.547,0.314,0.567,0.097,-0.15,0.07,-0.792,0.082
OAK,2015,14,DEN,-0.075,-0.401,0.056,-0.528,-0.303,-0.153,-0.636,0.023
PHI,2015,14,BUF,0.025,-0.056,0.002,-0.115,0.023,0.095,-0.06,0.104
PIT,2015,14,CIN,0.614,0.172,0.27,0.042,-0.285,-0.347,-0.148,0.157
SD,2015,14,KC,-0.342,-0.227,0.007,-0.383,0.096,0.131,0.065,-0.019
SEA,2015,14,BAL,0.523,0.389,1.221,-0.211,-0.162,0.073,-0.877,-0.029
SF,2015,14,CLE,-0.523,-0.392,-0.518,-0.181,0.248,0.362,0.154,0.117
TB,2015,14,NO,-0.061,-0.011,-0.187,0.258,0.019,0.232,-0.205,-0.032
TEN,2015,14,NYJ,-0.609,-0.306,-0.129,-0.674,0.263,0.406,0.134,-0.04
WAS,2015,14,CHI,-0.189,0.05,0.334,0.002,0.254,0.391,0.079,0.014
ARI,2015,15,PHI,0.515,0.529,0.629,0.444,-0.067,0.148,-0.452,-0.082
ATL,2015,15,JAC,0.112,-0.047,0.19,-0.276,-0.064,0.014,-0.196,0.095
BAL,2015,15,KC,0.116,-0.008,0.185,-0.12,0.006,0.213,-0.213,0.131
BUF,2015,15,WAS,-0.41,0.166,-0.072,0.481,0.581,0.9,0.231,0.006
CAR,2015,15,NYG,0.158,0.238,0.517,-0.084,0.075,0.024,0.154,-0.006
CHI,2015,15,MIN,-0.3,0.062,0.035,0.173,0.496,1.511,-0.075,0.134
CIN,2015,15,SF,-0.048,-0.259,0.346,-0.503,-0.261,-0.327,-0.117,-0.05
CLE,2015,15,SEA,-0.262,-0.068,-0.248,0.237,0.311,0.609,0.067,0.117
DAL,2015,15,NYJ,-0.009,-0.14,-0.447,0.351,0.014,0.231,-0.264,0.145
DEN,2015,15,PIT,0.256,0.159,0.235,0.032,-0.081,0.04,-0.471,0.016
DET,2015,15,NO,0.379,0.408,0.509,0.26,0.009,0.168,-0.357,-0.02
GB,2015,15,OAK,0.081,-0.105,-0.05,-0.183,-0.126,-0.241,0.051,0.06
HOU,2015,15,IND,0.003,-0.11,-0.002,-0.212,-0.274,-0.19,-0.422,-0.161
IND,2015,15,HOU,0.02,-0.271,-0.139,-0.5,-0.144,-0.108,-0.179,0.146
JAC,2015,15,ATL,-0.121,-0.06,0.058,-0.255,0.058,0.374,-0.264,-0.004
KC,2015,15,BAL,0.034,0.022,0.2,0.054,-0.021,0.06,-0.155,-0.008
MIA,2015,15,SD,-0.672,-0.406,-0.396,-0.313,0.247,0.539,-0.039,-0.02
MIN,2015,15,CHI,0.487,0.334,1.607,-0.211,-0.126,-0.205,0.003,0.027
NE,2015,15,TEN,0.328,0.145,0.534,-0.164,-0.046,0.084,-0.233,0.137
NO,2015,15,DET,-0.545,0.054,0.293,-0.318,0.533,0.677,0.331,-0.066
NYG,2015,15,CAR,0.083,0.305,0.376,0.273,0.224,0.459,-0.132,0.002
NYJ,2015,15,DAL,-0.006,-0.02,0.4,-0.401,-0.155,-0.302,0.05,-0.14
OAK,2015,15,GB,0.006,-0.089,0.021,-0.024,-0.143,-0.082,-0.234,-0.048
PHI,2015,15,ARI,-0.182,-0.004,0.258,-0.278,0.303,0.173,0.416,0.124
PIT,2015,15,DEN,0.307,0.406,0.684,-0.154,0.139,0.281,-0.099,0.04
SD,2015,15,MIA,0.185,0.177,0.718,-0.179,-0.121,-0.054,-0.235,-0.113
SEA,2015,15,CLE,0.593,0.416,0.902,0.189,-0.141,-0.287,0.113,0.036
SF,2015,15,CIN,-0.089,-0.361,-0.41,-0.074,-0.335,0.046,-0.534,-0.063
TB,2015,15,LARM,-0.355,0.176,0.296,0.056,0.373,1.253,-0.174,-0.157
TEN,2015,15,NE,-0.227,-0.144,0.096,-0.361,0.053,0.231,-0.146,-0.03
WAS,2015,15,BUF,0.57,0.555,1.246,-0.021,0.048,-0.145,0.245,0.063
ARI,2015,16,GB,0.787,0.122,0.415,-0.151,-0.669,-0.995,-0.202,-0.004
ATL,2015,16,CAR,0.074,0.118,0.634,-0.249,-0.005,-0.384,0.488,-0.05
BAL,2015,16,PIT,0.347,0.151,0.553,-0.028,-0.096,-0.205,0.077,0.1
BUF,2015,16,DAL,0.122,0.1,-0.354,0.32,-0.014,0.056,-0.095,0.008
CAR,2015,16,ATL,-0.204,-0.013,-0.395,0.595,0.223,0.754,-0.264,0.032
CHI,2015,16,TB,0.06,0.205,0.153,0.321,0.165,0.45,-0.101,0.019
CIN,2015,16,DEN,-0.152,0.23,0.477,0.045,0.296,0.458,0.01,-0.086
CLE,2015,16,KC,0.183,0.186,-0.258,0.573,-0.005,0.158,-0.142,-0.008
DAL,2015,16,BUF,-0.256,-0.25,-0.141,-0.131,-0.003,-0.396,0.196,-0.008
DEN,2015,16,CIN,0.404,0.313,0.526,0.035,-0.171,-0.143,-0.201,-0.08
DET,2015,16,SF,-0.04,0.088,0.248,0.064,0.212,0.358,-0.012,0.084
GB,2015,16,ARI,-0.511,-0.558,-0.853,-0.137,0.03,0.086,-0.04,0.078
HOU,2015,16,TEN,0.486,0.099,0.727,-0.286,-0.28,-0.197,-0.684,0.107
IND,2015,16,MIA,0.218,-0.002,0.073,0.023,-0.188,-0.103,-0.304,0.032
JAC,2015,16,NO,-0.423,0.027,0.13,-0.195,0.494,0.815,0.156,0.045
KC,2015,16,CLE,-0.184,-0.081,0.109,-0.163,0.116,-0.218,0.364,0.013
MIA,2015,16,IND,-0.418,-0.215,-0.127,-0.256,0.218,0.327,0.088,0.014
MIN,2015,16,NYG,0.432,0.006,-0.097,0.144,-0.25,-0.358,-0.027,0.175
NE,2015,16,NYJ,0.152,0.118,0.304,-0.153,0.107,0.111,0.101,0.141
NO,2015,16,JAC,-0.299,0.428,0.763,0.215,0.547,0.729,0.139,-0.181
NYG,2015,16,MIN,-0.776,-0.664,-0.821,-0.168,0.109,0.05,0.155,-0.003
NYJ,2015,16,NE,0.566,0.258,0.364,0.189,-0.209,-0.093,-0.384,0.099
OAK,2015,16,SD,-0.218,-0.587,-0.548,-0.177,-0.119,-0.045,-0.233,0.25
PHI,2015,16,WAS,-0.531,-0.193,-0.102,-0.127,0.383,0.565,0.035,0.045
PIT,2015,16,BAL,-0.127,-0.017,-0.166,0.347,0.147,0.399,-0.17,0.037
SD,2015,16,OAK,0.139,-0.095,0.194,-0.313,-0.3,-0.496,0.026,-0.066
SEA,2015,16,LARM,0.03,-0.217,0.193,-0.653,-0.146,0.239,-0.4,0.102
SF,2015,16,DET,-0.281,0.095,0.153,0.003,0.288,0.387,0.156,-0.088
TB,2015,16,CHI,-0.253,0.005,0.132,-0.11,0.102,0.135,0.081,-0.156
TEN,2015,16,HOU,-0.586,-0.386,-0.309,-0.753,0.187,0.668,-0.165,-0.013
WAS,2015,16,PHI,0.44,0.428,0.935,-0.319,0.052,0.05,0.058,0.064
ARI,2015,17,SEA,-0.837,-0.483,-0.41,-0.568,-0.028,0.338,-0.291,-0.381
ATL,2015,17,NO,-0.377,-0.158,0.078,-0.475,0.151,0.263,-0.045,-0.067
BAL,2015,17,CIN,0.059,-0.141,0.036,-0.337,-0.043,-0.179,0.124,0.157
BUF,2015,17,NYJ,0.35,-0.032,0.303,-0.178,-0.315,-0.562,0.168,0.067
CAR,2015,17,TB,0.696,0.392,0.541,0.329,-0.208,-0.164,-0.28,0.096
CHI,2015,17,DET,-0.104,-0.029,-0.168,0.095,0.284,0.392,0.047,0.209
CIN,2015,17,BAL,0.232,0.018,0.084,0.31,-0.147,-0.045,-0.384,0.067
CLE,2015,17,PIT,-0.339,-0.59,-0.763,-0.068,-0.168,0.102,-0.794,0.084
DAL,2015,17,WAS,-0.188,0.036,0.039,0.028,0.248,0.469,0.067,0.023
DEN,2015,17,SD,0.22,-0.099,-0.353,0.199,-0.223,-0.349,-0.057,0.096
DET,2015,17,CHI,0.392,0.296,0.536,-0.105,-0.154,-0.197,-0.114,-0.058
GB,2015,17,MIN,0.15,-0.126,-0.079,-0.199,-0.255,-0.716,0.046,0.021
HOU,2015,17,JAC,0.314,-0.259,-0.388,0.223,-0.701,-0.677,-0.758,-0.128
IND,2015,17,TEN,0.21,-0.126,-0.211,-0.012,-0.258,-0.659,0.236,0.077
JAC,2015,17,HOU,-0.831,-0.83,-0.823,-0.849,0.046,-0.083,0.209,0.045
KC,2015,17,OAK,0.459,0.073,-0.201,0.31,-0.392,-0.423,-0.336,-0.006
MIA,2015,17,NE,0.639,0.244,0.949,-0.39,-0.416,-0.645,-0.221,-0.021
MIN,2015,17,GB,0.021,-0.205,-0.668,0.073,-0.187,-0.148,-0.251,0.04
NE,2015,17,MIA,-0.598,-0.387,-0.601,-0.15,0.166,0.749,-0.476,-0.045
NO,2015,17,ATL,0.17,0.237,0.388,-0.047,0.162,0.54,-0.314,0.095
NYG,2015,17,PHI,0.069,0.236,0.298,0.245,0.313,0.534,-0.014,0.146
NYJ,2015,17,BUF,-0.108,-0.328,-0.554,0.099,-0.292,0.183,-0.59,-0.072
OAK,2015,17,KC,-0.206,-0.316,-0.127,-0.35,-0.117,-0.28,-0.009,-0.006
PHI,2015,17,NYG,0.014,0.254,0.406,0.035,0.251,0.213,0.292,0.01
PIT,2015,17,CLE,0.252,-0.207,0.139,-0.75,-0.458,-0.615,-0.173,0.001
SD,2015,17,DEN,-0.131,-0.058,-0.009,-0.049,0.088,-0.147,0.313,0.016
SEA,2015,17,ARI,1.157,0.264,0.762,-0.061,-0.655,-0.654,-0.662,0.237
SF,2015,17,LARM,-0.046,-0.04,0.094,-0.125,0.037,0.295,-0.216,0.031
TB,2015,17,CAR,-0.225,0.046,0.16,-0.135,0.231,0.466,0.06,-0.04
TEN,2015,17,IND,-0.364,-0.334,-0.828,0.274,0.05,-0.001,0.119,0.02
WAS,2015,17,DAL,-0.059,0.162,0.628,-0.17,0.27,0.351,0.01,0.049
ARI,2016,1,NE,0.235,0.19,0.121,0.306,-0.199,-0.031,-0.378,-0.155
ATL,2016,1,TB,-0.36,-0.093,0.383,-0.692,0.312,0.689,-0.1,0.045
BAL,2016,1,BUF,0.2,-0.242,-0.093,-0.194,-0.463,-0.326,-0.557,-0.021
BUF,2016,1,BAL,-0.287,-0.255,-0.169,-0.248,0.031,0.111,-0.095,-0.001
CAR,2016,1,DEN,0.063,0.149,0.252,0.165,-0.059,-0.291,0.127,-0.144
CHI,2016,1,HOU,-0.256,-0.185,-0.106,-0.189,0.066,0.325,-0.21,-0.005
CIN,2016,1,NYJ,-0.221,0.083,0.189,0.228,0.162,0.216,0.102,-0.142
CLE,2016,1,PHI,-0.588,-0.332,-0.523,-0.013,0.209,0.535,-0.102,-0.046
DAL,2016,1,NYG,0.131,0.165,0.284,0.098,0.111,0.148,0.063,0.077
DEN,2016,1,CAR,-0.186,-0.11,-0.369,0.09,0.064,-0.102,0.207,-0.011
DET,2016,1,IND,0.275,0.54,0.855,0.171,0.32,0.511,-0.039,0.054
GB,2016,1,JAC,0.19,0.158,0.459,-0.002,-0.049,0.099,-0.258,-0.016
HOU,2016,1,CHI,-0.083,-0.22,0.039,-0.462,-0.163,-0.206,-0.105,-0.026
IND,2016,1,DET,-0.246,0.259,0.385,0.029,0.553,0.695,0.331,0.048
JAC,2016,1,GB,-0.059,-0.19,0.003,-0.301,0.008,0.167,-0.179,0.139
KC,2016,1,SD,0.065,0.295,0.348,0.272,0.271,0.252,0.294,0.042
LARM,2016,1,SF,-0.877,-0.966,-1.304,-0.559,-0.04,0.021,-0.092,0.049
MIA,2016,1,SEA,-0.524,-0.483,-0.592,-0.253,-0.061,0.057,-0.212,-0.103
MIN,2016,1,TEN,-0.012,-0.021,0.314,-0.391,-0.14,0.106,-0.56,-0.131
NE,2016,1,ARI,-0.131,0.019,0.366,-0.225,0.252,0.353,0.09,0.102
NO,2016,1,OAK,-0.199,0.226,0.426,-0.066,0.296,0.306,0.284,-0.129
NYG,2016,1,DAL,0.025,0.006,0.044,0.046,-0.1,-0.003,-0.194,-0.081
NYJ,2016,1,CIN,-0.161,-0.023,-0.085,0.045,0.112,0.242,-0.118,-0.025
OAK,2016,1,NO,0.065,0.212,0.253,0.33,0.186,0.379,-0.158,0.039
PHI,2016,1,CLE,0.188,-0.076,0.298,-0.244,-0.253,-0.383,-0.098,0.011
PIT,2016,1,WAS,0.458,0.272,0.183,0.383,-0.16,-0.23,0.066,0.025
SD,2016,1,KC,0.176,0.395,0.493,0.286,0.078,0.073,0.091,-0.141
SEA,2016,1,MIA,0.478,-0.102,0.095,-0.289,-0.617,-0.702,-0.494,-0.037
SF,2016,1,LARM,0.249,-0.018,-0.175,0.164,-0.309,-0.407,-0.186,-0.042
TB,2016,1,ATL,0.502,0.191,0.732,-0.361,-0.288,-0.083,-0.689,0.024
TEN,2016,1,MIN,-0.092,0.011,0.397,-0.435,0.021,0.294,-0.296,-0.083
WAS,2016,1,PIT,-0.298,-0.195,-0.096,0.316,0.146,0.014,0.316,0.043
ARI,2016,2,TB,0.473,0.134,0.48,-0.343,-0.39,-0.548,-0.055,-0.05
ATL,2016,2,OAK,0.292,0.433,0.805,0.137,0.297,0.37,0.186,0.157
BAL,2016,2,CLE,-0.106,-0.179,0.018,-0.496,0.132,0.33,-0.203,0.205
BUF,2016,2,NYJ,-0.179,0.217,0.559,-0.203,0.473,0.903,0.065,0.077
CAR,2016,2,SF,0.222,0.025,0.428,-0.264,-0.109,0.29,-0.572,0.087
CHI,2016,2,PHI,-0.294,-0.228,-0.192,-0.189,0.142,0.347,-0.097,0.076
CIN,2016,2,PIT,0.281,0.087,0.311,-0.522,-0.191,-0.024,-0.366,0.004
CLE,2016,2,BAL,-0.118,0.13,0.262,0.056,0.018,0.229,-0.333,-0.23
DAL,2016,2,WAS,0.015,-0.005,0.296,-0.171,-0.031,-0.069,0.071,-0.011
DEN,2016,2,IND,0.282,0.078,0.314,-0.09,-0.283,-0.409,-0.067,-0.078
DET,2016,2,TEN,-0.067,-0.173,-0.32,0.077,0.019,0.113,-0.108,0.125
GB,2016,2,MIN,-0.201,-0.277,-0.314,-0.204,-0.088,0.181,-0.5,-0.013
HOU,2016,2,KC,-0.311,-0.392,-0.282,-0.517,-0.278,-0.265,-0.302,-0.198
IND,2016,2,DEN,-0.362,-0.049,0.052,-0.005,0.294,0.448,0.136,-0.019
JAC,2016,2,SD,-0.467,-0.119,-0.116,0.192,0.27,0.403,0.159,-0.077
KC,2016,2,HOU,0.012,-0.315,-0.178,-0.249,-0.192,-0.064,-0.331,0.136
LARM,2016,2,SEA,0.352,0.029,0.245,-0.247,-0.231,-0.074,-0.465,0.091
MIA,2016,2,NE,0.276,0.34,0.45,0.04,0.014,0.143,-0.11,-0.049
MIN,2016,2,GB,0.256,-0.316,0.105,-0.584,-0.501,-0.574,-0.366,0.071
NE,2016,2,MIA,-0.038,0.29,0.716,-0.108,0.27,0.451,-0.222,-0.058
NO,2016,2,NYG,0.037,0.121,0.303,-0.134,0.066,0.432,-0.436,-0.019
NYG,2016,2,NO,0.068,-0.098,0.262,-0.578,-0.226,-0.161,-0.431,-0.06
NYJ,2016,2,BUF,0.066,0.248,0.728,-0.013,0.103,0.628,-0.562,-0.079
OAK,2016,2,ATL,0.087,0.46,0.762,0.21,0.206,0.398,-0.008,-0.168
PHI,2016,2,CHI,0.158,0.07,0.303,-0.154,-0.202,-0.196,-0.21,-0.114
PIT,2016,2,CIN,0.068,-0.033,0.285,-0.312,-0.064,0.104,-0.605,0.038
SD,2016,2,JAC,0.154,0.2,0.476,0.163,0.055,-0.039,0.385,0.009
SEA,2016,2,LARM,-0.479,-0.272,-0.033,-0.369,0.195,0.55,-0.273,-0.012
SF,2016,2,CAR,-0.396,-0.098,0.191,-0.417,0.255,0.564,-0.068,-0.044
TB,2016,2,ARI,-0.537,-0.268,-0.341,-0.041,0.229,0.536,-0.18,-0.04
TEN,2016,2,DET,-0.146,-0.088,-0.103,-0.068,-0.09,-0.205,0.095,-0.147
WAS,2016,2,DAL,0.345,0.158,0.184,0.36,-0.138,0.059,-0.32,0.048
ARI,2016,3,BUF,-0.455,-0.58,-0.671,-0.146,-0.149,-0.437,0.071,-0.023
ATL,2016,3,NO,0.438,0.399,0.193,0.658,0.031,-0.041,0.187,0.07
BAL,2016,3,JAC,-0.095,-0.355,-0.513,0.047,-0.259,-0.182,-0.396,0.001
BUF,2016,3,ARI,0.425,0.141,-0.139,0.424,-0.351,-0.48,-0.095,-0.067
CAR,2016,3,MIN,-0.378,-0.255,-0.46,0.143,-0.056,0.145,-0.324,-0.179
CHI,2016,3,DAL,-0.191,0.04,0.241,-0.228,0.249,0.4,0.172,0.019
