year,week,hometeam,awayteam,homescore,awayscore,pointdiff,hwhl,covered,homeline,awayline,predicttotal,actualtotal
2015,7,DET,MIN,19,28,-9,0,0,2.5,-2.5,44.5,47
2015,7,IND,NO,21,27,-6,0,0,-6,6,52.5,48
2015,7,NE,NYJ,30,23,7,1,0,-10,10,48,53
2015,7,SD,OAK,29,37,-8,0,0,-5,5,47,66
2015,7,CAR,PHI,27,16,11,1,1,-3.5,3.5,46.5,43
2015,7,KC,PIT,23,13,10,1,1,-2,2,43,36
2015,7,SF,SEA,3,20,-17,0,0,4.5,-4.5,41.5,23
2015,7,WAS,TB,31,30,1,1,0,-3.5,3.5,44,61
2015,8,CLE,ARI,20,34,-14,0,0,4.5,-4.5,46,54
2015,8,PIT,CIN,10,16,-6,0,0,1.5,-1.5,48.5,26
2015,8,KC,DET,45,10,35,1,1,-6,6,45.5,55
2015,8,DEN,GB,29,10,19,1,1,2.5,-2.5,46,39
2015,8,CAR,IND,29,26,3,1,0,-6.5,6.5,46,55
2015,8,NE,MIA,36,7,29,1,1,-8,8,51.5,43
2015,8,CHI,MIN,20,23,-3,0,0,2.5,-2.5,42,43
2015,8,NO,NYG,52,49,3,1,0,-3.5,3.5,49,101
2015,8,OAK,NYJ,34,20,14,1,1,0,0,44,54
2015,8,BAL,SD,29,26,3,1,0,-3,3,50,55
2015,8,DAL,SEA,12,13,-1,0,1,5.5,-5.5,40.5,25
2015,8,ATL,TB,20,23,-3,0,0,-7.5,7.5,49,43
2015,8,HOU,TEN,20,6,14,1,1,-4.5,4.5,43.5,26
2015,9,SF,ATL,17,16,1,1,1,4,-4,45,33
2015,9,SD,CHI,19,22,-3,0,0,-4,4,50,41
2015,9,CIN,CLE,31,10,21,1,1,-10.5,10.5,46,41
2015,9,IND,DEN,27,24,3,1,1,3,-3,45,51
2015,9,CAR,GB,37,29,8,1,1,2.5,-2.5,46.5,66
2015,9,TB,JAC,38,31,7,1,1,-3,3,42,69
2015,9,BUF,MIA,33,17,16,1,1,-3,3,44,50
2015,9,TB,NYG,18,32,-14,0,0,2.5,-2.5,47,50
2015,9,PIT,OAK,38,35,3,1,0,-5.5,5.5,48,73
2015,9,DAL,PHI,27,33,-6,0,0,3,-3,44.5,60
2015,9,NO,TEN,28,34,-6,0,0,-7.5,7.5,48,62
2015,9,NE,WAS,27,10,17,1,1,-14,14,52.5,37
2015,10,SEA,ARI,32,39,-7,0,0,-3,3,45,71
2015,10,NYJ,BUF,17,22,-5,0,0,-3,3,43,39
2015,10,TEN,CAR,10,27,-17,0,0,4,-4,42,37
2015,10,PIT,CLE,30,9,21,1,1,-4.5,4.5,41,39
2015,10,TB,DAL,10,6,4,1,1,-1,1,43,16
2015,10,GB,DET,16,18,-2,0,0,-13,13,47.5,34
2015,10,CIN,HOU,6,10,-4,0,0,-10.5,10.5,47,16
2015,10,NYJ,JAC,28,23,5,1,0,-7.5,7.5,43,51
2015,10,DEN,KC,13,29,-16,0,0,-7,7,42.5,42
2015,10,PHI,MIA,19,20,-1,0,0,-6.5,6.5,46.5,39
2015,10,OAK,MIN,14,30,-16,0,0,-3,3,43.5,44
2015,10,NYG,NE,26,27,-1,0,1,7.5,-7.5,55,53
2015,10,WAS,NO,47,14,33,1,1,0,0,51,61
2015,11,NE,BUF,20,13,7,1,0,-7.5,7.5,49,33
2015,11,ARI,CIN,34,31,3,1,0,-3.5,3.5,47,65
2015,11,MIA,DAL,14,24,-10,0,0,-1,1,46,38
2015,11,CHI,DEN,15,17,-2,0,0,2,-2,43,32
2015,11,MIN,GB,13,30,-17,0,0,-1,1,45,43
2015,11,ATL,IND,21,24,-3,0,0,-6,6,47.5,45
2015,11,SD,KC,3,33,-30,0,0,3,-3,45.5,36
2015,11,HOU,NYJ,24,17,7,1,1,3,-3,40,41
2015,11,DET,OAK,18,13,5,1,1,1,-1,47.5,31
2015,11,SEA,SF,29,13,16,1,1,-13,13,40.5,42
2015,11,PHI,TB,17,45,-28,0,0,-6,6,45.5,62
2015,11,CAR,WAS,44,16,28,1,1,-7.5,7.5,45.5,60
2015,12,SF,ARI,13,19,-6,0,1,10.5,-10.5,44.5,32
2015,12,CLE,BAL,27,33,-6,0,0,-1,1,41,60
2015,12,KC,BUF,30,22,8,1,1,-6,6,42,52
2015,12,DAL,CAR,14,33,-19,0,0,-1,1,46,47
2015,12,GB,CHI,13,17,-4,0,0,-8,8,47.5,30
2015,12,NYJ,MIA,38,20,18,1,1,-4,4,42.5,58
2015,12,ATL,MIN,10,20,-10,0,0,-2.5,2.5,46,30
2015,12,DEN,NE,30,24,6,1,1,3.5,-3.5,45,54
2015,12,HOU,NO,24,6,18,1,1,-3,3,48,30
2015,12,WAS,NYG,20,14,6,1,1,1,-1,46.5,34
2015,12,TEN,OAK,21,24,-3,0,0,2,-2,44,45
2015,12,DET,PHI,45,14,31,1,1,1,-1,46,59
2015,12,SEA,PIT,39,30,9,1,1,-5.5,5.5,44.5,69
2015,12,JAC,SD,25,31,-6,0,0,-4,4,46.5,56
2015,12,IND,TB,25,12,13,1,1,-3,3,46.5,37
2015,13,TB,ATL,23,19,4,1,1,-2.5,2.5,45.5,42
2015,13,MIA,BAL,15,13,2,1,0,-4.5,4.5,43.5,28
2015,13,NO,CAR,38,41,-3,0,1,6.5,-6.5,49.5,79
2015,13,CLE,CIN,3,37,-34,0,0,10,-10,43.5,40
2015,13,WAS,DAL,16,19,-3,0,0,-4,4,42,35
