Week,Home,Away,HomeLine,PredictTotal,HOME_OFFPass_DVOA,HOME_OFFRush_DVOA,HOME_DEFPassDVOA,HOME_DEFRushDVOA,HOME_STDVOA,VISIT_OFFPass_DVOA,VISIT_OFFRush_DVOA,VISIT_DEFPassDVOA,VISIT_DEFRushDVOA,VISIT_STDVOA
8,MIN,WAS,-14.0,40.0,-0.02128571428571428571428571429,-0.07771428571428571428571428571,0.2841428571428571428571428571,-0.1558571428571428571428571429,-0.01442857142857142857142857143,0.1152857142857142857142857143,-0.151,-0.1618571428571428571428571429,-0.073,0.001857142857142857142857142857
8,ATL,SEA,3.5,54.0,0.194,-0.1601428571428571428571428571,0.4102857142857142857142857143,-0.1495714285714285714285714286,0.003571428571428571428571428571,0.3854285714285714285714285714,-0.1331428571428571428571428571,0.1208571428571428571428571429,0.004571428571428571428571428571,0.005714285714285714285714285714
8,CHI,SD,-5.5,40.5,0.022,-0.260,0.010,-0.2376666666666666666666666667,0.03833333333333333333333333333,0.2454285714285714285714285714,-0.09042857142857142857142857143,0.08014285714285714285714285714,-0.174,-0.06071428571428571428571428571
8,DET,NYG,-7.5,48.5,0.2311666666666666666666666667,-0.1348333333333333333333333333,0.07783333333333333333333333333,-0.1283333333333333333333333333,0.001166666666666666666666666667,-0.1707142857142857142857142857,0.007571428571428571428571428571,0.241,-0.1101428571428571428571428571,-0.01757142857142857142857142857
8,JAC,NYJ,-4.0,41.0,0.1516,-0.0936,0.0502,-0.1776,0.0224,-0.1945,-0.1106666666666666666666666667,-0.01083333333333333333333333333,-0.1546666666666666666666666667,0.04816666666666666666666666667
8,LARM,CIN,-9.0,47.5,0.1052857142857142857142857143,-0.1104285714285714285714285714,0.07714285714285714285714285714,-0.06042857142857142857142857143,-0.01114285714285714285714285714,0.08457142857142857142857142857,-0.1455714285714285714285714286,0.1762857142857142857142857143,-0.1235714285714285714285714286,0.001857142857142857142857142857
8,TEN,TB,-2.5,47.0,0.054,-0.139,0.01485714285714285714285714286,-0.1385714285714285714285714286,0.0008571428571428571428571428571,0.2911666666666666666666666667,-0.0925,-0.04783333333333333333333333333,-0.190,0.042
8,BUF,PHI,-1.5,41.5,-0.2166666666666666666666666667,-0.01716666666666666666666666667,0.03783333333333333333333333333,-0.02266666666666666666666666667,-0.01816666666666666666666666667,0.1117142857142857142857142857,-0.07285714285714285714285714286,0.2497142857142857142857142857,-0.2195714285714285714285714286,0.07914285714285714285714285714
8,IND,DEN,-5.0,43.5,0.3228333333333333333333333333,0.09166666666666666666666666667,0.0295,-0.1041666666666666666666666667,-0.03266666666666666666666666667,-0.1068333333333333333333333333,-0.1021666666666666666666666667,0.1256666666666666666666666667,-0.1763333333333333333333333333,-0.03766666666666666666666666667
8,NO,ARI,-7.5,47.5,0.134,-0.117,0.09771428571428571428571428571,-0.1061428571428571428571428571,0.05842857142857142857142857143,0.1971428571428571428571428571,-0.03171428571428571428571428571,0.1278571428571428571428571429,0.004714285714285714285714285714,-0.05228571428571428571428571429
8,SF,CAR,-6.5,41.5,-0.0255,-0.06483333333333333333333333333,-0.3816666666666666666666666667,-0.0565,-0.0275,0.290,-0.1386,-0.3934,-0.0542,-0.0132
8,HOU,OAK,-6.5,48.0,0.189,-0.07914285714285714285714285714,0.07971428571428571428571428571,0.003571428571428571428571428571,-0.004142857142857142857142857143,0.2201666666666666666666666667,-0.139,0.2021666666666666666666666667,-0.07483333333333333333333333333,-0.002
8,NE,CLE,-11.0,46.5,-0.04028571428571428571428571429,-0.1674285714285714285714285714,-0.2981428571428571428571428571,-0.1215714285714285714285714286,-0.03942857142857142857142857143,0.087,-0.005666666666666666666666666667,-0.06183333333333333333333333333,-0.0285,0.01983333333333333333333333333
8,KC,GB,-4.0,48.0,0.4362857142857142857142857143,0.02128571428571428571428571429,0.07185714285714285714285714286,-0.02771428571428571428571428571,-0.007428571428571428571428571429,0.09742857142857142857142857143,-0.01385714285714285714285714286,0.05842857142857142857142857143,-0.1001428571428571428571428571,0.05357142857142857142857142857
8,PIT,MIA,-16.0,42.5,-0.0425,-0.1378333333333333333333333333,0.1616666666666666666666666667,-0.09766666666666666666666666667,0.010,0.2668333333333333333333333333,-0.267,-0.0665,-0.0003333333333333333333333333333,-0.02633333333333333333333333333
