,Year,Week,HomeTeam,AwayTeam,HomeScore,AwayScore,PointDiff,Predicted,Error,HomeLine
284,2016,17,MIN,CHI,38,10,28,20.776527433381904,-7.223472566618096,-6.5
287,2017,4,GB,CHI,35,14,21,15.855311674117043,-5.1446883258829565,-7.5
292,2017,17,MIN,CHI,23,10,13,16.872313902618107,3.8723139026181066,-12.5
295,2018,6,MIA,CHI,31,28,3,2.273462428589535,-0.7265375714104652,3.0
296,2018,13,NYG,CHI,30,27,3,11.632472763882141,8.632472763882141,4.0
297,2018,16,SF,CHI,9,14,-5,-9.226317430982778,-4.226317430982778,3.5
298,2018,17,MIN,CHI,10,24,-14,-5.427624874145785,8.572375125854215,-6.0
303,2016,5,DAL,CIN,28,14,14,6.809371077416386,-7.190628922583614,0.0
304,2017,3,IND,CLE,31,28,3,1.80909894605613,-1.19090105394387,1.0
310,2017,1,LARM,IND,46,9,37,30.65491513086152,-6.3450848691384785,-3.0
319,2016,2,DEN,IND,34,20,14,9.494742256530568,-4.505257743469432,-4.5
322,2017,7,PIT,CIN,29,14,15,24.200020087115604,9.200020087115604,-6.0
323,2017,10,TEN,CIN,24,20,4,-4.690672279413832,-8.690672279413832,-5.5
327,2016,13,GB,HOU,21,13,8,10.52724498414766,2.5272449841476607,-6.5
338,2015,10,GB,DET,16,18,-2,3.9026996594975722,5.902699659497572,-13.0
339,2016,8,IND,KC,14,30,-16,-9.498348730324444,6.5016512696755555,2.5
345,2016,6,GB,DAL,16,30,-14,-7.038913097991179,6.961086902008821,-4.0
357,2015,9,IND,DEN,27,24,3,4.221842887766181,1.221842887766181,3.0
359,2017,17,PIT,CLE,28,24,4,4.566496324659375,0.5664963246593748,-16.0
360,2018,2,NO,CLE,21,18,3,6.131202085232867,3.131202085232867,-8.0
364,2018,7,TB,CLE,26,23,3,-0.8467962697425522,-3.846796269742552,-3.0
365,2018,8,PIT,CLE,33,18,15,10.472170770799519,-4.527829229200481,-7.0
366,2015,7,MIA,HOU,44,26,18,33.21346683240563,15.21346683240563,-5.0
381,2016,10,PIT,DAL,30,35,-5,-1.0970697966218932,3.902930203378107,-2.5
382,2015,6,MIN,KC,16,10,6,-9.253763760437131,-15.253763760437131,-3.5
393,2017,4,MIN,DET,7,14,-7,-3.501987695616609,3.498012304383391,-1.5
394,2017,6,MIN,GB,23,10,13,6.1299945326998,-6.8700054673002,3.0
397,2017,17,PHI,DAL,0,6,-6,-10.917582628872715,-4.917582628872715,0.0
398,2018,3,SEA,DAL,24,13,11,13.709686949479593,2.709686949479593,-1.0
400,2018,12,MIN,GB,24,17,7,3.8516542269596536,-3.1483457730403464,-4.0
404,2019,2,WAS,DAL,21,31,-10,-9.777356617333723,0.22264338266627703,4.5
415,2016,6,SD,DEN,21,13,8,2.126838730474419,-5.873161269525581,2.5
416,2016,9,OAK,DEN,30,20,10,11.984507227447406,1.9845072274474056,-2.5
