year,week,hometeam,awayteam,homescore,awayscore,pointdiff,hwhl,covered,homeline,awayline,predicttotal,actualtotal,home_totaldvoa,home_offensedvoa,home_offpassdvoa,home_offrushdvoa,home_defensedvoa,home_defpassdvoa,home_defrushdvoa,home_stdvoa,visit_totaldvoa,visit_offensedvoa,visit_offpassdvoa,visit_offrushdvoa,visit_defensedvoa,visit_defpassdvoa,visit_defrushdvoa,visit_stdvoa
2016,1,NO,OAK,34,35,-1,0,0,-1,1,51,69,-0.199,0.226,0.426,-0.066,0.296,0.306,0.284,-0.129,0.065,0.212,0.253,0.33,0.186,0.379,-0.158,0.039
2016,1,WAS,PIT,16,38,-22,0,0,3,-3,50,54,-0.298,-0.195,-0.096,0.316,0.146,0.014,0.316,0.043,0.458,0.272,0.183,0.383,-0.16,-0.23,0.066,0.025
2016,1,KC,SD,33,27,6,1,0,-7,7,44.5,60,0.065,0.295,0.348,0.272,0.271,0.252,0.294,0.042,0.176,0.395,0.493,0.286,0.078,0.073,0.091,-0.141
2016,1,ATL,TB,24,31,-7,0,0,-3,3,47.5,55,-0.36,-0.093,0.383,-0.692,0.312,0.689,-0.1,0.045,0.502,0.191,0.732,-0.361,-0.288,-0.083,-0.689,0.024
2017,1,DET,ARI,35,23,12,1,1,-1,1,48,58,0.396,0.194,0.535,-0.204,-0.218,-0.22,-0.214,-0.016,-0.564,-0.39,-0.345,-0.409,0.042,0.21,-0.195,-0.131
2017,1,CHI,ATL,17,23,-6,0,1,7,-7,50.5,40,-0.048,0.09,-0.105,0.454,0.141,0.343,-0.121,0.003,0.267,0.36,0.656,-0.017,0.117,0.009,0.327,0.024
2017,1,CIN,BAL,0,20,-20,0,0,-3,3,42.5,20,-0.818,-0.943,-1.347,-0.322,-0.142,-0.08,-0.166,-0.018,0.623,-0.275,0.539,-0.122,-0.895,-1,-0.386,0.003
2017,1,SF,CAR,3,23,-20,0,0,6,-6,48,26,-0.557,-0.509,-0.37,-0.365,0.053,0.543,-0.253,0.006,0.45,-0.035,0.006,0.194,-0.459,-0.265,0.071,0.026
2017,1,LARM,IND,46,9,37,1,1,-3,3,42,55,0.781,0.09,0.725,-0.229,-0.579,-0.82,-0.352,0.112,-1.021,-0.767,-0.999,-0.473,0.111,0.714,-0.432,-0.142
2017,1,HOU,JAC,7,29,-22,0,0,-4.5,4.5,40.5,36,-0.244,-0.235,-0.318,-0.086,0.03,0.336,-0.164,0.021,0.223,0.001,0.274,-0.125,-0.377,-0.597,0,-0.155
2017,1,NE,KC,27,42,-15,0,0,-8,8,48,69,-0.459,-0.016,0.006,-0.035,0.483,0.56,0.355,0.04,0.748,0.635,0.822,0.447,-0.168,-0.264,-0.082,-0.054
2017,1,MIN,NO,29,19,10,1,1,-3.5,3.5,48,48,0.407,0.421,1.22,-0.351,-0.012,0.272,-0.486,-0.026,0.055,0.27,0.606,0.06,0.272,1.249,-0.231,0.057
2017,1,DAL,NYG,19,3,16,1,1,-3.5,3.5,48.5,22,0.277,0.101,0.206,0.029,-0.087,-0.061,-0.162,0.089,-0.436,-0.256,-0.238,-0.162,0.169,0.351,-0.06,-0.011
2017,1,BUF,NYJ,21,12,9,1,1,-7,7,42,33,0.462,0.207,-1.248,-0.416,-0.329,0.492,0.065,-0.073,-0.677,-0.381,-0.428,-0.253,0.272,0.52,0.095,-0.024
2017,1,TEN,OAK,16,26,-10,0,0,-1,1,51.5,42,0.05,0.209,0.322,0.116,0.118,0.388,-0.206,-0.041,-0.078,0.187,0.426,-0.095,0.305,0.474,0.014,0.04
2017,1,WAS,PHI,17,30,-13,0,0,-1,1,48,47,-0.054,-0.104,0.241,-0.059,-0.065,-0.45,0.326,-0.016,0.352,0.025,0.452,-0.458,-0.261,-0.392,0.039,0.066
2017,1,CLE,PIT,18,21,-3,0,1,9,-9,47,39,-0.377,-0.145,0.038,-0.328,-0.002,0.183,-0.518,-0.234,0.249,0.148,0.378,-0.283,-0.065,0.161,-0.369,0.036
2017,1,DEN,SD,24,21,3,1,0,-3.5,3.5,44,45,0.082,-0.019,0.205,-0.186,-0.086,0.117,-0.377,0.015,-0.103,0.12,0.726,0.191,0.016,0.708,-0.095,-0.207
